ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
NEM,0.8421875,0.17647058823529413,0.0759493670886076,0.10619469026548674,640,34,79
ES,0.9280125195618153,0.17647058823529413,0.08571428571428572,0.11538461538461539,639,17,35
MCO,0.8364888123924269,0.175,0.10144927536231885,0.12844036697247707,581,40,69
CBRE,0.917057902973396,0.17391304347826086,0.10526315789473684,0.13114754098360656,639,23,38
HRL,0.8967136150234741,0.17142857142857143,0.13953488372093023,0.15384615384615385,639,35,43
MDT,0.865625,0.16666666666666666,0.012195121951219513,0.022727272727272724,640,6,82
PYPL,0.6870109546165885,0.16666666666666666,0.010416666666666666,0.0196078431372549,639,12,192
AVB,0.9218241042345277,0.16666666666666666,0.022727272727272728,0.04,614,6,44
AVGO,0.8841940532081377,0.15789473684210525,0.04918032786885246,0.075,639,19,61
ULTA,0.7272727272727273,0.1569767441860465,0.48214285714285715,0.23684210526315788,638,172,56
DG,0.8325508607198748,0.15517241379310345,0.13432835820895522,0.144,639,58,67
RE,0.8322147651006712,0.15384615384615385,0.04878048780487805,0.07407407407407408,298,13,41
LRCX,0.6870109546165885,0.14960629921259844,0.17117117117117117,0.1596638655462185,639,127,111
WAT,0.7818181818181819,0.14814814814814814,0.17391304347826086,0.15999999999999998,385,54,46
META,0.6765625,0.14634146341463414,0.26373626373626374,0.18823529411764708,640,164,91
ALL,0.6640625,0.145,0.3972602739726027,0.21245421245421245,640,200,73
ATVI,0.93125,0.14285714285714285,0.058823529411764705,0.08333333333333333,640,14,34
OTIS,0.9436619718309859,0.14285714285714285,0.03225806451612903,0.052631578947368425,639,7,31
APH,0.928125,0.14285714285714285,0.0967741935483871,0.11538461538461538,640,21,31
ANET,0.8560250391236307,0.14285714285714285,0.05555555555555555,0.08,639,28,72
KIM,0.89375,0.14285714285714285,0.11627906976744186,0.1282051282051282,640,35,43
GE,0.9203125,0.14285714285714285,0.021739130434782608,0.03773584905660378,640,7,46
TGT,0.85,0.14285714285714285,0.01098901098901099,0.020408163265306128,640,7,91
WBA,0.8890625,0.14285714285714285,0.03278688524590164,0.05333333333333333,640,14,61
ROST,0.8078125,0.14285714285714285,0.11538461538461539,0.12765957446808512,640,63,78
RL,0.8,0.14084507042253522,0.12987012987012986,0.13513513513513514,640,71,77
UDR,0.8734375,0.13953488372093023,0.12,0.1290322580645161,640,43,50
TYL,0.828169014084507,0.13793103448275862,0.1,0.11594202898550725,355,29,40
SCHW,0.8578125,0.13636363636363635,0.20930232558139536,0.16513761467889906,640,66,43
