ticket,accuracy_low_model,accuracy_high_model,precision_low_model,precision_high_model,sample_size,p_success_strategy,num_interesting_bets
VTRS,0.6641025641025641,0.7269230769230769,0.6710526315789473,0.8064516129032258,780,0.45454545454545453,11
CTLT,0.5846153846153846,0.5717948717948718,0.5463576158940397,0.5452054794520548,780,0.75,4
ZTS,0.7205128205128205,0.7282051282051282,0.7354570637119113,0.76,780,0.0,0
TECH,0.6525759577278731,0.6010568031704095,0.6642958748221907,0.7222222222222222,757,0.0,0
INCY,0.7807692307692308,0.7935897435897435,0.7887700534759359,0.5909090909090909,780,0.0,0
REGN,0.7256410256410256,0.7102564102564103,0.7345013477088949,0.6470588235294118,780,0.26666666666666666,15
MRNA,0.6307692307692307,0.5833333333333334,0.6256781193490054,0.7346938775510204,780,0.6666666666666666,3
VRTX,0.7371794871794872,0.691025641025641,0.7373333333333333,0.5961538461538461,780,0.36363636363636365,22
XRAY,0.6858974358974359,0.6666666666666666,0.6879895561357703,0.5652173913043478,780,0.2222222222222222,9
TFX,0.6759259259259259,0.671957671957672,0.6778074866310161,0.5714285714285714,756,0.5,2
COO,0.7533692722371967,0.7628032345013477,0.7520325203252033,0.16666666666666666,742,0.5,2
HOLX,0.7461538461538462,0.7307692307692307,0.7473544973544973,0.7142857142857143,780,0.0,1
STE,0.7512820512820513,0.7551282051282051,0.752925877763329,0.42857142857142855,780,0.0,0
WST,0.6559278350515464,0.6030927835051546,0.6619519094766619,0.7142857142857143,776,0.0,0
RMD,0.7737789203084833,0.7442159383033419,0.7760210803689065,0.5740740740740741,778,0.47619047619047616,42
BAX,0.7448717948717949,0.7807692307692308,0.74609375,0.5384615384615384,780,0.0,1
BDX,0.8474358974358974,0.8346153846153846,0.8580901856763926,0.3888888888888889,780,0.0,3
ISRG,0.6948717948717948,0.6871794871794872,0.6959370904325033,0.5652173913043478,780,0.25,8
ABMD,0.41450777202072536,0.5129533678756477,0.8151260504201681,0.029900332225913623,772,0.06666666666666667,15
BIO,0.64453125,0.5455729166666666,0.6553254437869822,0.5625,768,0.36363636363636365,11
ALGN,0.5564102564102564,0.5679487179487179,0.5488,0.625,780,0.0,0
ZBH,0.7397435897435898,0.7615384615384615,0.7460106382978723,0.6666666666666666,780,0.0,0
BSX,0.8128205128205128,0.767948717948718,0.8129032258064516,0.375,780,0.6666666666666666,3
EW,0.6576923076923077,0.6487179487179487,0.6590257879656161,0.5763888888888888,780,0.3870967741935484,62
SYK,0.7615384615384615,0.7474358974358974,0.7660130718954249,0.5555555555555556,780,0.25,4
MDT,0.8102564102564103,0.8217948717948718,0.8228346456692913,0.5384615384615384,780,0.0,0
ABT,0.8423076923076923,0.8282051282051283,0.8482490272373541,1.0,780,0.0,0
CRL,0.632051282051282,0.5961538461538461,0.6323943661971831,0.6818181818181818,780,0.14285714285714285,7
DGX,0.8333333333333334,0.8102564102564103,0.8374512353706112,0.5789473684210527,780,0.25,8
PKI,0.7085492227979274,0.7072538860103627,0.7121418826739427,0.5238095238095238,772,0.5,2
WAT,0.7252311756935271,0.7014531043593131,0.7249666221628839,0.3,757,0.0,2
LH,0.7897435897435897,0.7410256410256411,0.7912813738441216,0.5806451612903226,780,0.8888888888888888,9
MTD,0.5976744186046512,0.7302325581395349,0.57,0.25,430,0.0,3
ILMN,0.5987179487179487,0.6153846153846154,0.598937583001328,0.5444444444444444,780,0.2647058823529412,68
IDXX,0.6829896907216495,0.6108247422680413,0.6862210095497954,0.5862068965517241,776,0.0,1
DXCM,0.5897435897435898,0.573076923076923,0.5828877005347594,0.725,780,0.375,8
A,0.7935897435897435,0.7730769230769231,0.792258064516129,0.6,780,0.0,0
IQV,0.7339331619537275,0.7172236503856041,0.7365661861074705,0.6,778,0.0,0
DHR,0.7858974358974359,0.7512820512820513,0.7887139107611548,0.6,780,0.5,2
TMO,0.7653846153846153,0.7717948717948718,0.7661822985468957,0.675,780,0.5357142857142857,28
MOH,0.6622340425531915,0.7646276595744681,0.6571428571428571,0.4583333333333333,752,0.09090909090909091,11
CNC,0.782051282051282,0.7884615384615384,0.7822685788787483,0.5384615384615384,780,0.0,0
HUM,0.7794871794871795,0.7935897435897435,0.7868421052631579,0.6829268292682927,780,0.3333333333333333,21
CI,0.8217948717948718,0.823076923076923,0.8217948717948718,0.0,780,0.0,0
ELV,0.808974358974359,0.8256410256410256,0.8095854922279793,0.5833333333333334,780,0.4375,16
CVS,0.8128205128205128,0.808974358974359,0.8228346456692913,0.5789473684210527,780,0.0,1
UNH,0.841025641025641,0.85,0.8433420365535248,0.4666666666666667,780,0.5,2
OGN,0.6375321336760925,0.705655526992288,0.639686684073107,0.6842105263157895,778,0.2857142857142857,7
BIIB,0.7782051282051282,0.7294871794871794,0.7758846657929227,0.5555555555555556,780,0.5,4
GILD,0.7858974358974359,0.7948717948717948,0.7894736842105263,0.8181818181818182,780,0.6923076923076923,13
AMGN,0.8,0.8064102564102564,0.8065359477124183,0.8461538461538461,780,0.0,1
BMY,0.8641025641025641,0.8576923076923076,0.8656330749354005,0.5,780,0.0,0
MRK,0.8538461538461538,0.8333333333333334,0.854381443298969,0.5833333333333334,780,0.25,8
ABBV,0.8115384615384615,0.7846153846153846,0.81282722513089,0.5714285714285714,780,0.6,5
PFE,0.8179487179487179,0.7948717948717948,0.8230668414154653,0.55,780,0.6666666666666666,3
LLY,0.7897435897435897,0.7487179487179487,0.7939632545931758,0.6363636363636364,780,0.3333333333333333,6
JNJ,0.8935897435897436,0.9,0.8970398970398971,0.8,780,0.5,2
IPG,0.7692307692307693,0.7923076923076923,0.7767624020887729,0.5882352941176471,780,0.6666666666666666,3
OMC,0.8294871794871795,0.7974358974358975,0.8301158301158301,0.6666666666666666,780,1.0,1
NWS,0.767948717948718,0.732051282051282,0.767948717948718,1.0,780,1.0,1
FOXA,0.658974358974359,0.6705128205128205,0.6610608020698577,0.6111111111111112,780,0.36363636363636365,11
TTWO,0.591025641025641,0.6397435897435897,0.5669515669515669,0.65625,780,0.21739130434782608,23
