ticket,accuracy,precision,recall,f1_score,sample_size,num_interesting_bets,num_possible_bets
RL,0.7683881064162754,0.5238095238095238,0.14666666666666667,0.22916666666666669,639,42,150
WBD,0.7046875,0.5234375,0.3435897435897436,0.4148606811145511,640,128,195
GM,0.8390625,0.5230769230769231,0.32075471698113206,0.3976608187134502,640,65,106
VTR,0.8497652582159625,0.5217391304347826,0.12371134020618557,0.2,639,23,97
PEAK,0.8888888888888888,0.5185185185185185,0.19444444444444445,0.2828282828282829,639,27,72
PNC,0.8734375,0.5185185185185185,0.17073170731707318,0.25688073394495414,640,27,82
AXP,0.8796875,0.5172413793103449,0.19230769230769232,0.28037383177570097,640,29,78
MU,0.7704918032786885,0.5111111111111111,0.18110236220472442,0.2674418604651163,549,45,127
LNT,0.903125,0.5,0.016129032258064516,0.03125,640,2,62
ON,0.7109375,0.5,0.016216216216216217,0.031413612565445025,640,6,185
TROW,0.8278560250391236,0.5,0.09090909090909091,0.15384615384615385,639,20,110
NUE,0.7828125,0.5,0.1079136690647482,0.17751479289940827,640,30,139
IEX,0.8908554572271387,0.5,0.02702702702702703,0.05128205128205129,339,2,37
HST,0.8497652582159625,0.5,0.07291666666666667,0.1272727272727273,639,14,96
COO,0.7766497461928934,0.5,0.056818181818181816,0.10204081632653061,394,10,88
TSN,0.8953125,0.5,0.05970149253731343,0.10666666666666667,640,8,67
HWM,0.8828125,0.5,0.14666666666666667,0.22680412371134018,640,22,75
TXT,0.8983870967741936,0.5,0.06349206349206349,0.11267605633802816,620,8,63
HUM,0.8770226537216829,0.5,0.02631578947368421,0.05,618,4,76
OMC,0.890625,0.5,0.02857142857142857,0.05405405405405405,640,4,70
WMB,0.8625,0.5,0.07954545454545454,0.1372549019607843,640,14,88
FLT,0.8139097744360902,0.5,0.13131313131313133,0.20800000000000005,532,26,99
NCLH,0.7375,0.5,0.03571428571428571,0.06666666666666667,640,12,168
DE,0.8640625,0.5,0.13793103448275862,0.2162162162162162,640,24,87
AMT,0.878125,0.5,0.1794871794871795,0.2641509433962264,640,28,78
COST,0.9109375,0.5,0.03508771929824561,0.06557377049180328,640,4,57
CCI,0.8810641627543035,0.5,0.02631578947368421,0.05,639,4,76
TSLA,0.69375,0.48717948717948717,0.09743589743589744,0.16239316239316237,640,39,195
XYL,0.8993506493506493,0.4857142857142857,0.2786885245901639,0.35416666666666663,616,35,61
DLTR,0.7609375,0.4838709677419355,0.09868421052631579,0.16393442622950818,640,31,152
PNR,0.8685446009389671,0.4838709677419355,0.18072289156626506,0.2631578947368421,639,31,83
WBA,0.8796875,0.47619047619047616,0.13157894736842105,0.2061855670103093,640,21,76
WRK,0.8640625,0.47058823529411764,0.18823529411764706,0.2689075630252101,640,34,85
CZR,0.721875,0.46808510638297873,0.12571428571428572,0.19819819819819823,640,47,175
CAT,0.8828125,0.4666666666666667,0.0945945945945946,0.15730337078651685,640,15,74
FE,0.8982785602503912,0.46153846153846156,0.09375,0.15584415584415584,639,13,64
O,0.91875,0.46153846153846156,0.11764705882352941,0.1875,640,13,51
HAL,0.75625,0.4576271186440678,0.17880794701986755,0.2571428571428571,640,59,151
SIVB,0.6823161189358372,0.45652173913043476,0.10552763819095477,0.17142857142857146,639,46,199
LEN,0.846875,0.45454545454545453,0.05154639175257732,0.09259259259259259,640,11,97
V,0.9107981220657277,0.45454545454545453,0.08928571428571429,0.1492537313432836,639,11,56
NDAQ,0.8875,0.45454545454545453,0.14285714285714285,0.21739130434782608,640,22,70
HPQ,0.7809076682316118,0.4489795918367347,0.16296296296296298,0.23913043478260868,639,49,135
XEL,0.9109375,0.4482758620689655,0.24074074074074073,0.3132530120481928,640,29,54
RTX,0.9107981220657277,0.4482758620689655,0.24074074074074073,0.3132530120481928,639,29,54
PARA,0.7,0.4444444444444444,0.042105263157894736,0.07692307692307691,640,18,190
NSC,0.8873239436619719,0.4444444444444444,0.11428571428571428,0.1818181818181818,639,18,70
BF-B,0.9150943396226415,0.4444444444444444,0.23529411764705882,0.30769230769230765,636,27,51
NEM,0.7875,0.4444444444444444,0.02962962962962963,0.05555555555555556,640,9,135
CPRT,0.8435054773082942,0.4444444444444444,0.04040404040404041,0.07407407407407408,639,9,99
BIO,0.8191881918819188,0.4411764705882353,0.3333333333333333,0.37974683544303794,271,34,45
ROST,0.8169014084507042,0.4406779661016949,0.23636363636363636,0.30769230769230765,639,59,110
SBAC,0.8810641627543035,0.44,0.1506849315068493,0.22448979591836735,639,25,73
CRM,0.7677100494233937,0.44,0.07971014492753623,0.13496932515337423,607,25,138
IR,0.9046875,0.4375,0.24561403508771928,0.3146067415730337,640,32,57
AAL,0.825,0.4375,0.12962962962962962,0.19999999999999998,640,32,108
RF,0.8828125,0.4375,0.0958904109589041,0.15730337078651688,640,16,73
SO,0.892018779342723,0.4375,0.2153846153846154,0.28865979381443296,639,32,65
LW,0.8967136150234741,0.43478260869565216,0.15873015873015872,0.23255813953488372,639,23,63
IPG,0.9078125,0.43333333333333335,0.23636363636363636,0.3058823529411765,640,30,55
DXC,0.8234375,0.42857142857142855,0.11009174311926606,0.1751824817518248,640,28,109
SWK,0.8015625,0.42857142857142855,0.0975609756097561,0.15894039735099336,640,28,123
NTRS,0.8873239436619719,0.42857142857142855,0.13043478260869565,0.2,639,21,69
MRNA,0.7453125,0.4266666666666667,0.21052631578947367,0.2819383259911894,640,75,152
MRO,0.7421875,0.4166666666666667,0.12738853503184713,0.19512195121951217,640,48,157
EXC,0.8765625,0.4166666666666667,0.06493506493506493,0.11235955056179775,640,12,77
PRU,0.909375,0.4166666666666667,0.18518518518518517,0.2564102564102564,640,24,54
ISRG,0.8609375,0.41379310344827586,0.14285714285714285,0.21238938053097345,640,29,84
MCO,0.85,0.4117647058823529,0.08333333333333333,0.1386138613861386,580,17,84
MPC,0.7921875,0.4117647058823529,0.23140495867768596,0.2962962962962963,640,68,121
FCX,0.7762128325508607,0.4090909090909091,0.06474820143884892,0.11180124223602485,639,22,139
ES,0.8875,0.40816326530612246,0.31746031746031744,0.35714285714285715,640,49,63
NVDA,0.6619718309859155,0.4057971014492754,0.13793103448275862,0.20588235294117643,639,69,203
ALB,0.7359375,0.40540540540540543,0.1935483870967742,0.26200873362445415,640,74,155
MET,0.9453125,0.4,0.058823529411764705,0.10256410256410256,640,5,34
SBUX,0.9,0.4,0.031746031746031744,0.058823529411764705,640,5,63
CB,0.934375,0.4,0.4,0.4000000000000001,640,35,35
DTE,0.90625,0.4,0.14285714285714285,0.21052631578947364,640,20,56
SEDG,0.701095461658842,0.4,0.021164021164021163,0.04020100502512563,639,10,189
GLW,0.8609375,0.4,0.022727272727272728,0.043010752688172046,640,5,88
AVB,0.8813008130081301,0.3953488372093023,0.265625,0.3177570093457944,615,43,64
XOM,0.865414710485133,0.39285714285714285,0.1375,0.20370370370370372,639,28,80
UNP,0.8794992175273866,0.3902439024390244,0.23529411764705882,0.29357798165137616,639,41,68
INTU,0.6984375,0.38620689655172413,0.35,0.36721311475409835,640,145,160
BALL,0.8171875,0.38461538461538464,0.19047619047619047,0.2547770700636943,640,52,105
TSCO,0.84375,0.38461538461538464,0.10638297872340426,0.16666666666666669,640,26,94
ENPH,0.690625,0.3813559322033898,0.2647058823529412,0.3125,640,118,170
UAL,0.86875,0.38095238095238093,0.10126582278481013,0.16,640,21,79
HES,0.734375,0.379746835443038,0.1986754966887417,0.2608695652173913,640,79,151
MCK,0.896875,0.375,0.15,0.21428571428571425,640,24,60
MS,0.8794992175273866,0.37037037037037035,0.14285714285714285,0.20618556701030927,639,27,70
NRG,0.8375,0.3684210526315789,0.0707070707070707,0.11864406779661016,640,19,99
COP,0.815625,0.3673469387755102,0.17142857142857143,0.2337662337662338,640,49,105
PENN,0.73125,0.36538461538461536,0.2638888888888889,0.30645161290322576,640,104,144
IT,0.8718487394957983,0.36363636363636365,0.32653061224489793,0.3440860215053763,476,44,49
KEY,0.8140625,0.36363636363636365,0.034482758620689655,0.06299212598425197,640,11,116
ETSY,0.6103286384976526,0.36363636363636365,0.016260162601626018,0.031128404669260704,639,11,246
CINF,0.839907192575406,0.36363636363636365,0.2807017543859649,0.31683168316831684,431,44,57
LVS,0.7824726134585289,0.3611111111111111,0.10077519379844961,0.15757575757575756,639,36,129
SLB,0.7234375,0.3597122302158273,0.36231884057971014,0.36101083032490966,640,139,138
MPWR,0.7243460764587525,0.35714285714285715,0.03759398496240601,0.06802721088435373,497,14,133
MMM,0.9092331768388107,0.35714285714285715,0.09259259259259259,0.14705882352941174,639,14,54
WRB,0.8841940532081377,0.35714285714285715,0.07142857142857142,0.11904761904761904,639,14,70
PKI,0.81421647819063,0.35714285714285715,0.04504504504504504,0.08,619,14,111
LUMN,0.6134585289514867,0.3534136546184739,0.5057471264367817,0.41607565011820336,639,249,174
ROP,0.910394265232975,0.35294117647058826,0.13333333333333333,0.19354838709677416,558,17,45
QRVO,0.7921875,0.34782608695652173,0.06349206349206349,0.10738255033557045,640,23,126
EXPD,0.846875,0.3448275862068966,0.11235955056179775,0.1694915254237288,640,29,89
AIZ,0.8379310344827586,0.34146341463414637,0.1728395061728395,0.2295081967213115,580,41,81
FANG,0.7203125,0.3411764705882353,0.19078947368421054,0.2447257383966245,640,85,152
PYPL,0.7640625,0.33663366336633666,0.288135593220339,0.31050228310502287,640,101,118
EQIX,0.8557046979865772,0.3333333333333333,0.04878048780487805,0.0851063829787234,596,12,82
HOLX,0.89375,0.3333333333333333,0.014925373134328358,0.028571428571428574,640,3,67
